customer_id,age,income,credit_score,employment_type,city,loan_amount,tenure_months,interest_rate,days_late,default_flag
1,39,47988,767,Freelancer,New Robertville,31158,12,19.24,64,0
2,49,61074,332,Freelancer,Kevinborough,53753,24,18.89,76,1
3,25,101736,416,Business,Carolynfort,374017,6,27.46,22,0
4,27,80583,347,Freelancer,New Teresamouth,75073,6,22.99,56,1
5,21,113184,760,Freelancer,Andersonview,112471,24,27.7,40,0
6,49,26965,420,Student,East Dianaside,281547,12,26.81,58,1
7,33,28242,672,Freelancer,Mccluretown,221297,24,26.91,58,0
8,23,64013,321,Freelancer,Martinfurt,199741,36,13.93,0,0
9,33,69684,481,Salaried,Marcusmouth,387069,36,10.11,19,0
10,55,86538,544,Salaried,West Rebekah,215116,12,12.46,33,1
11,40,114340,645,Freelancer,Kristinachester,76762,36,19.78,40,0
12,49,142354,817,Salaried,Karenton,85166,48,13.4,0,0
13,34,43849,524,Business,Dawntown,330668,48,16.22,2,0
14,28,90197,886,Salaried,South Keith,455662,6,27.07,66,0
15,36,33105,850,Business,Andersonfort,91737,6,13.86,64,0
16,51,44026,839,Salaried,West Manuel,44142,6,18.26,57,0
17,32,59819,801,Student,Amandaville,282785,24,20.07,40,0
18,38,81342,896,Salaried,Victoriaburgh,21912,48,24.45,7,0
19,48,80027,690,Salaried,Royville,315182,36,21.93,67,0
20,58,84348,446,Business,Lake Benjaminland,422006,48,18.92,4,0
21,32,95739,511,Freelancer,East Annettechester,276660,6,17.23,81,1
22,27,39089,439,Business,East Jennifer,489677,12,26.83,27,0
23,24,142953,528,Salaried,Johntown,327347,36,21.38,84,1
24,38,86220,755,Freelancer,Brittanyland,406844,24,21.79,73,0
25,35,89115,869,Business,Jessicashire,262478,12,13.83,67,0
26,57,111103,404,Business,Michaelberg,312817,6,12.1,64,1
27,30,88367,867,Business,Jeffreyton,294826,48,14.68,48,0
28,58,100926,739,Freelancer,West John,459716,12,15.64,0,0
29,43,28049,381,Student,Christinafort,469865,36,15.15,38,1
30,35,75781,859,Business,Oconnorfort,285141,36,11.84,36,0
31,46,124274,699,Student,East Ronaldfort,422402,24,21.9,82,0
32,40,129457,760,Student,Fullerstad,42969,48,13.83,36,0
33,41,23549,897,Salaried,South Adamview,279444,24,20.63,27,0
34,29,126939,585,Student,New Janetville,315998,12,26.11,27,0
35,56,149210,306,Salaried,Elizabethton,28060,24,22.9,68,1
36,31,92374,328,Salaried,East Roger,107114,36,15.55,86,1
37,46,21034,811,Freelancer,Lake Jerry,35703,24,24.31,40,0
38,28,126910,797,Business,Guzmanmouth,196932,24,26.23,30,0
39,55,136008,369,Freelancer,Josephberg,338252,24,18.95,40,1
40,22,78218,817,Student,South Ambermouth,149484,12,24.7,1,0
41,29,65337,511,Student,North Christina,301529,48,23.37,72,1
42,39,132620,336,Freelancer,Port Jessica,282902,36,23.22,1,0
43,38,90761,335,Student,East James,36551,48,19.82,53,1
44,22,101236,668,Freelancer,North John,266046,36,22.29,39,0
